request_id,worker_id,arrive_time,wait_time,service_time,total_time,timestamp,time_bucket
0,0,1.4811,0.0,5.1388,5.1388,2026-05-19T11:12:12.572601,0.0
1,1,1.672,0.0,0.4823,0.4823,2026-05-19T11:12:12.763517,0.0
2,2,3.0168,0.0,0.1767,0.1767,2026-05-19T11:12:14.108286,0.0
3,0,4.0572,2.5627,0.8299,3.3926,2026-05-19T11:12:15.148705,0.0
4,1,4.1987,0.0,0.7959,0.7959,2026-05-19T11:12:15.290217,0.0
5,2,4.5599,0.0,0.3475,0.3475,2026-05-19T11:12:15.651367,0.0
6,0,4.753,2.6968,0.0528,2.7496,2026-05-19T11:12:15.844538,0.0
7,1,4.8713,0.1232,0.3033,0.4265,2026-05-19T11:12:15.962833,0.0
8,2,6.6372,0.0,1.0036,1.0036,2026-05-19T11:12:17.728745,5.0
9,0,8.1659,0.0,0.3509,0.3509,2026-05-19T11:12:19.257361,5.0
10,1,9.485,0.0,3.525,3.525,2026-05-19T11:12:20.576468,5.0
11,2,11.5955,0.0,0.4723,0.4723,2026-05-19T11:12:22.686998,10.0
12,0,12.751,0.0,1.8436,1.8436,2026-05-19T11:12:23.842530,10.0
13,1,12.8586,0.1513,0.2306,0.3819,2026-05-19T11:12:23.950108,10.0
14,2,13.2252,0.0,0.1691,0.1691,2026-05-19T11:12:24.316649,10.0
15,0,14.2224,0.3723,1.683,2.0553,2026-05-19T11:12:25.313858,10.0
16,1,14.6801,0.0,1.7852,1.7852,2026-05-19T11:12:25.771636,10.0
17,2,14.9612,0.0,0.1904,0.1904,2026-05-19T11:12:26.052655,10.0
18,0,15.0028,1.2748,0.7675,2.0423,2026-05-19T11:12:26.094337,15.0
19,1,15.2954,1.1699,2.8824,4.0523,2026-05-19T11:12:26.386915,15.0
20,2,15.6258,0.0,0.1822,0.1822,2026-05-19T11:12:26.717251,15.0
21,0,16.0572,0.9879,1.9902,2.9782,2026-05-19T11:12:27.148744,15.0
22,1,16.0754,3.2724,1.7363,5.0087,2026-05-19T11:12:27.166875,15.0
23,2,16.5251,0.0,1.1587,1.1587,2026-05-19T11:12:27.616644,15.0
24,0,17.0624,1.973,2.0299,4.0029,2026-05-19T11:12:28.153917,15.0
25,1,17.4347,3.6494,1.7696,5.4189,2026-05-19T11:12:28.526183,15.0
26,2,17.6149,0.069,0.0927,0.1617,2026-05-19T11:12:28.706351,15.0
27,0,17.6156,3.4497,0.0981,3.5478,2026-05-19T11:12:28.707095,15.0
28,1,17.852,5.0016,1.2599,6.2616,2026-05-19T11:12:28.943459,15.0
29,2,17.9262,0.0,0.355,0.355,2026-05-19T11:12:29.017686,15.0
30,0,18.1465,3.0169,0.3157,3.3326,2026-05-19T11:12:29.238008,15.0
31,1,18.3473,5.7662,1.3936,7.1599,2026-05-19T11:12:29.438814,15.0
32,2,18.4388,0.0,0.3739,0.3739,2026-05-19T11:12:29.530270,15.0
33,0,18.4399,3.0392,0.5891,3.6283,2026-05-19T11:12:29.531437,15.0
34,1,18.8622,6.645,0.0979,6.7429,2026-05-19T11:12:29.953694,15.0
35,2,19.121,0.0,0.8266,0.8266,2026-05-19T11:12:30.212479,15.0
36,0,19.7665,2.3017,0.8943,3.1961,2026-05-19T11:12:30.857996,15.0
37,1,19.9529,5.6522,0.1649,5.8171,2026-05-19T11:12:31.044356,15.0
38,2,20.3727,0.0,2.0112,2.0112,2026-05-19T11:12:31.464177,20.0
39,0,20.3972,2.5653,0.0471,2.6124,2026-05-19T11:12:31.488720,20.0
40,1,21.1368,4.6332,1.1618,5.795,2026-05-19T11:12:32.228314,20.0
41,2,21.4114,0.9725,0.2655,1.238,2026-05-19T11:12:32.502916,20.0
42,0,23.1684,0.0,0.2378,0.2378,2026-05-19T11:12:34.259916,20.0
43,1,23.3497,3.5821,2.0844,5.6666,2026-05-19T11:12:34.441193,20.0
44,2,24.1667,0.0,0.1455,0.1455,2026-05-19T11:12:35.258236,20.0
45,0,24.2051,0.0,0.128,0.128,2026-05-19T11:12:35.296572,20.0
46,1,24.2077,4.8086,0.0801,4.8887,2026-05-19T11:12:35.299158,20.0
47,2,24.3597,0.0,0.0798,0.0798,2026-05-19T11:12:35.451197,20.0
48,0,24.6637,0.0,0.9561,0.9561,2026-05-19T11:12:35.755167,20.0
49,1,24.7416,4.3548,1.423,5.7777,2026-05-19T11:12:35.833070,20.0
50,2,24.8154,0.0,0.2891,0.2891,2026-05-19T11:12:35.906858,20.0
51,0,25.0015,0.6183,3.6269,4.2453,2026-05-19T11:12:36.092955,25.0
52,1,25.8248,4.6945,0.1905,4.8851,2026-05-19T11:12:36.916288,25.0
53,2,26.522,0.0,0.1517,0.1517,2026-05-19T11:12:37.613528,25.0
54,0,27.2887,1.9581,1.229,3.187,2026-05-19T11:12:38.380179,25.0
55,1,27.3624,3.3475,0.4374,3.7849,2026-05-19T11:12:38.453864,25.0
56,2,28.2252,0.0,0.6492,0.6492,2026-05-19T11:12:39.316646,25.0
57,0,28.9145,1.5612,0.3327,1.8939,2026-05-19T11:12:40.005977,25.0
58,1,29.06,2.0873,0.7356,2.8229,2026-05-19T11:12:40.151509,25.0
59,2,29.2402,0.0,0.4951,0.4951,2026-05-19T11:12:40.331673,25.0
60,0,29.9714,0.8371,0.4179,1.255,2026-05-19T11:12:41.062848,25.0
